CustomerID,Age,Gender,Country,MembershipLevel,TotalPurchases,TotalSpent,FavoriteCategory,LastPurchaseDate,Occupation,WebsiteVisitsFrequency,Item,Churn
1,58,Male,,Bronze,48,586.31,Electronics,26/10/2023,Energy manager,Daily,Laptop,TRUE
2,20,Male,Bangladesh,Bronze,14,503.69,Home Goods,23/12/2023,"Designer, television/film set",Weekly,Lamp,FALSE
3,46,Non-Binary,Indonesia,Gold,1,1529.67,Electronics,13/1/2023,Company secretary,Monthly,Smartphone,FALSE
4,39,Male,,Bronze,25,238.6,Clothing,2/3/2023,Technical brewer,Bi-weekly,Dress,FALSE
5,42,Male,,Gold,41,1256.11,Clothing,16/3/2023,Medical illustrator,Weekly,T-Shirt,FALSE
6,36,Male,India,Silver,7,791.25,Clothing,14/2/2023,"Engineer, water",Bi-weekly,Sneakers,FALSE
7,60,Female,Turkey,Bronze,39,1288.21,Home Goods,2/9/2023,Social worker,Weekly,Bedding Set,FALSE
8,,Female,Turkey,,15,1652.52,Clothing,14/6/2023,Fine artist,Bi-weekly,Sneakers,FALSE
9,59,Female,Turkey,Platinum,42,944.76,Clothing,26/10/2023,Hotel manager,Weekly,Sneakers,TRUE
10,,Female,Vietnam,,15,1994.79,Electronics,20/4/2023,Medical secretary,Monthly,Laptop,FALSE
11,27,Non-Binary,China,Silver,44,873.21,Electronics,22/6/2023,"Administrator, Civil Service",Monthly,Smartwatch,TRUE
12,53,Male,Indonesia,Bronze,44,1775.34,Clothing,11/2/2023,Proofreader,Bi-weekly,Dress,FALSE
13,47,Male,Japan,Gold,33,1535.83,Home Goods,12/11/2023,Community arts worker,Bi-weekly,Coffee Maker,FALSE
14,41,Male,Pakistan,Bronze,39,682.1,Electronics,9/11/2023,Insurance claims handler,Bi-weekly,Headphones,FALSE
15,21,Male,Japan,Bronze,6,1477.22,Electronics,8/4/2023,Licensed conveyancer,Weekly,Smartwatch,FALSE
16,34,Non-Binary,,Platinum,14,1861.38,Home Goods,17/1/2023,Hospital doctor,Weekly,Lamp,TRUE
17,46,Non-Binary,Japan,Platinum,8,533.42,Electronics,16/7/2023,Technical author,Daily,Smartphone,FALSE
18,18,Male,China,Bronze,15,181.43,Electronics,20/7/2023,"Production assistant, radio",Daily,Headphones,TRUE
19,31,Non-Binary,Turkey,Silver,47,1874.25,Home Goods,16/3/2023,Tour manager,Monthly,Lamp,TRUE
20,30,Male,,Bronze,43,890.55,Clothing,9/6/2023,Advertising account planner,Monthly,T-Shirt,FALSE
21,21,Female,Bangladesh,Gold,7,534.88,Electronics,6/4/2023,Geophysicist/field seismologist,Monthly,Smartphone,TRUE
22,47,Male,Iran,Bronze,29,1625.64,Home Goods,16/11/2023,Adult guidance worker,Daily,Couch,FALSE
23,33,Male,Japan,Platinum,32,988.65,Clothing,6/12/2023,Community pharmacist,Weekly,Dress,TRUE
24,47,Female,,Platinum,45,1916.77,Home Goods,1/2/2023,Exhibition designer,Monthly,Bedding Set,FALSE
25,21,Non-Binary,Pakistan,Bronze,48,661.53,Electronics,12/3/2023,"Clinical scientist, histocompatibility and immunogenetics",Monthly,Smartphone,FALSE
26,50,Male,India,Silver,5,1210.32,Home Goods,7/9/2023,Lobbyist,Monthly,Coffee Maker,FALSE
27,57,Male,India,Platinum,43,1188.16,Home Goods,28/7/2023,Company secretary,Bi-weekly,Bedding Set,FALSE
28,,Female,Vietnam,,43,1308.73,Clothing,28/7/2023,Patent attorney,Daily,T-Shirt,FALSE
29,52,Male,Japan,Gold,9,1869.86,Electronics,2/9/2023,Purchasing manager,Bi-weekly,Smartwatch,TRUE
30,57,Non-Binary,Japan,Bronze,43,1643.35,Clothing,31/1/2023,Careers information officer,Daily,Jeans,TRUE
31,25,Male,Bangladesh,Silver,18,599.42,Electronics,14/7/2023,"Conservation officer, nature",Weekly,Headphones,TRUE
32,34,Male,India,Bronze,41,875.97,Clothing,14/12/2023,Sports administrator,Daily,Jeans,TRUE
